scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2025,0,0,<NA>,<NA>,0.870529404486405
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2026,0,0,<NA>,<NA>,0.870529404486405
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2027,0,0,<NA>,<NA>,0.870529404486405
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2028,0,0,<NA>,<NA>,0.870529404486406
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2029,0,0,<NA>,<NA>,0.870529404486406
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2030,0,0,<NA>,<NA>,0.870529404486406
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2031,0,0,<NA>,<NA>,0.880529404486406
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2032,0,0,<NA>,<NA>,0.890529404486406
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2033,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2034,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2035,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2036,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2037,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2038,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2039,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2040,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2041,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2042,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2043,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2044,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2045,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2046,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2047,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2048,0,0,<NA>,<NA>,0.9
