"country","age_from","age_to","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
"IND.Low",83,83,7192.94950999517,7495.76805359756,7215.74850390342,6659.21353003802,7495.63498553972,7055.1353581023,7382.97069657678,7633.58220549042,7708.18902991392,7545.75728732245,7626.5739544447,7970.82102005157,7687.65219298878,7086.14021557675,6464.09140123959,6059.74192951272,6591.1270404482,7658.4215762854,8788.08067522572,9462.95750852149,10186.2267588482,11028.6362769523,11051.2578467834,10636.4403545072,9185.51060794541,9036.60745123336,9810.53127557412,10898.4957163943,11986.3714451759,12715.2739099508,13900.3336769677,15088.5870773726,15469.2504348057,15669.2960817439,15302.9597185372,14981.4229348,16108.1101804488,17613.7308987788,19203.9385458697,19437.0737831883,19350.801325695,20604.302430456,21544.0290548533,22221.7446733828,22644.7680292251,22801.4334893106,24198.3376043934,25552.9260770861,26756.2161680258,27646.0422707367,28257.3569284089,29915.9172012052,31404.505208133,32694.9548769515,33679.2593007219,34367.3098717429,36366.8792207389,38319.2537652244,40115.051561663,41513.0202212083,42543.8541092001,45125.5962112034,47684.9828794912,50093.2042340839,52009.4286228589,53439.4223283221,56323.3176336386,59192.6198086132,61879.5300323217,64131.8843351759,66162.3698296077,68861.7884507523,70638.6018709404,71968.3509728381,73482.3549788115,75313.0166064016,78322.7942944256,80599.5000518627,82629.5863421211,84588.436865421,86127.7238023821,91299.4582259743,98845.8364975666,107176.251765895,114090.867254928,120077.68788875,126497.245846636,131239.924495764,135155.895657612,138790.516589188,142111.451752438,147538.676847064,152898.968708602,158182.391588733,162971.510990044,167539.382567202,173564.748581775,178845.243964634,183879.474728468,188740.140388873,193549.397422935,200237.264941426,206877.227959098,213638.549045511,220221.292798316,226969.750639139,234771.841361862,241713.336598577,248580.934707177,255389.051393927,262042.986557671,271179.483764316,281776.491617686,293253.789029623,303859.047102578,314100.630173484,323926.99654794,332303.187228162,340350.344957388,348529.994116195,357242.492134573,364890.490046328,370609.089831584,375970.66801768,382037.018994065,389012.934501739,395537.66058133,401705.54248584,408358.058256967,415555.665148986,423647.711169721,430229.346022044,436151.939139953,442459.054588972,449349.895251673,457075.604909202,462435.142718412,467120.069830441,472116.243129736,478398.075647767,487036.454757934,489119.014218997,485682.043709319,480651.804987219,478665.89729216,479227.355784166,479266.256013071,482270.755334801,487672.475718344,494289.905878223,502879.626435243
"IND.Low",84,84,5540.95392805183,6150.49434495295,6281.07846570371,5901.12480457905,5274.95088044915,5679.5221322724,6028.60400398044,6237.87570292815,6332.13224389125,6225.98828976198,5876.9951300925,6549.12189019312,6755.90965206134,6407.84796879666,5781.58533262821,5123.7412107347,5223.98581430016,5635.60967318842,6456.68394602037,7258.9069106597,7606.5250337316,8867.92150992387,9527.36244851134,9437.89635763013,8947.0526483136,7376.93827795514,7828.0389939997,8427.68801860211,9220.46315113549,9938.23225507189,10287.6246189149,12146.0087585529,13042.0447039626,13145.2611608196,13085.6466709116,12412.8545705219,12968.5024240017,13812.6861828769,14967.8943489206,16135.2560642462,15842.5950490581,17075.071400682,17991.688539036,18605.4427777685,18967.2104709896,19072.245524637,20231.4457324156,21288.7158078963,22284.6858647365,23119.954063737,23644.2865676075,25125.9993915473,26388.9926844336,27477.2676173887,28367.0493640803,28953.9682111503,30644.0212576331,32187.3889483677,33674.0696464666,35006.8793136944,35953.2149849639,38184.1009744881,40267.9467601099,42323.0054892211,44223.3060670757,45641.6341394691,48123.8413342154,50404.4947773682,52703.1567643473,54868.6176254383,56627.0676536458,59635.4703050723,61768.9061202455,63059.7106372182,63948.4278394472,65016.1659354772,68016.3627233374,70375.4819645907,72048.3248755941,73515.3558571534,74939.8937722456,77712.1893330618,82035.4818199283,88560.0748314613,95780.4363613695,101639.112455501,108604.471230587,113864.518488559,117707.612710735,120920.98452724,123883.922258907,128773.020127668,133172.383187594,137626.96949152,142118.903563676,146183.245610005,152138.440402083,157066.216719653,161461.80951794,165782.928559862,169994.53259019,176098.098266748,181652.225932525,187347.050891448,193327.262478397,199208.338362263,206965.141589304,213529.876798283,219531.911546717,225696.644173857,231894.022831186,239371.826696976,247212.019240258,256726.962003372,267326.010233629,277182.361277116,287609.574288694,296059.262892858,303600.274086118,311232.215118895,319115.832205048,327949.422156052,334533.008673223,339744.752226203,345027.642834103,351158.2213264,357911.203481189,363631.754931293,369461.599612894,376144.987173438,383533.236236309,390719.266207297,396632.4114931,402424.952762489,409022.422713694,416368.444846213,422657.729175483,427626.046894672,432493.277245929,438114.781704988,445179.409251215,451752.527747837,453847.240758182,451173.637340256,447437.707260653,446884.853836387,445544.01572967,446079.038034186,449736.014399477,455938.760135138,463535.659912687
"IND.Low",85,85,4221.62849068412,4601.00552355818,4984.06410603221,4945.51872528071,4473.65939221463,3788.93552263941,4757.2274234509,4968.14029511186,5019.63763349217,4929.63927037964,4634.31689403502,4954.78913330955,5418.48695882872,5468.47619255362,5050.2876428124,4397.85495527066,4334.29277964707,4363.74517644684,4620.61088407851,5160.29057061874,5612.18969501029,6498.15682404413,7486.05408537595,7920.03337797969,7698.47506169231,7122.60086342224,6262.93685381952,6572.8080044869,6956.66499530791,7429.2783807017,7763.76712206769,8728.99845754908,10233.3772073394,10782.9926421976,10592.5278954233,10253.0712798983,10533.1351856117,10804.5053115469,11322.7166847571,12057.6959241729,12692.0313558497,13903.9708705484,14800.4060201316,15381.0706684835,15670.271914168,15714.9384255797,16827.5648131177,17664.2524047351,18381.4448804209,19017.8206889844,19483.4701793518,20907.4758222126,22000.0089330183,22863.842408433,23548.6106340275,24036.7042701489,25675.9696745598,26921.0431356582,28006.9671995917,29029.3734439208,29900.1264583427,32098.5881977756,33835.5255566339,35413.8901465779,36953.4432196546,38341.786623017,40892.1690193917,42770.8682158585,44469.1271259075,46222.2100757825,47873.4516053982,50765.8189103966,53141.0393866474,54686.181318153,55464.5851004407,55905.9718482637,58364.625996774,60692.6960245336,62408.7416983126,63492.3592492437,64402.4116967448,67249.8019981966,69288.6264242525,72762.6342100269,78261.2281396695,84371.4915751384,91457.1882305224,97107.7902382263,101212.274482001,104161.151355558,106676.004580492,111633.100226804,115409.083791814,118785.419623141,122339.268243614,126043.217633319,132004.710980134,136715.364583344,140546.438324296,144058.281794514,147668.462559468,153792.609428971,158621.871027727,163040.129751865,167789.905364077,172992.201084951,180614.649929603,186923.76139949,192253.935523938,197320.280045729,202786.094877126,210643.408843848,216657.863277679,223205.477063217,231642.213709752,241366.60559589,252408.770458722,261073.497044339,268149.967647714,274859.126055457,282079.132737211,291267.836978545,298614.036535141,304134.054422094,308841.026475704,314047.181170255,321204.069236579,326773.810221141,331688.989429236,337178.179882792,343888.846395191,351676.299631553,357758.530062839,362997.552567674,368656.183014867,375540.237206619,382793.732682927,388214.126950584,392779.026674451,397817.338192059,404056.721999642,410444.698471803,416431.873953779,418533.107298957,416617.991810664,414169.450834549,412915.550525615,411837.211340977,412854.738423186,417148.090597041,424134.385413226
"IND.Low",86,86,3243.84440174741,3702.5299970883,3921.5600202769,4108.74242162479,3900.49091112044,3306.96301717823,3386.49335974144,4160.37282806293,4218.08000914198,4094.68156351406,3808.76266325612,4176.51841907967,4354.03120822523,4632.58700928323,4526.84225932745,4006.05823699911,3973.72269894636,3848.46130050881,3784.63298876957,3885.76471272056,4171.5061889014,5120.05966113473,5831.66327839166,6588.99795152292,6813.61683314039,6435.79226094102,6631.003101778,5580.96305743946,5743.88271624297,5924.01251052586,6106.53752984969,7019.6505426809,7733.82680905588,8934.67731893538,9159.47362462996,8672.00097277846,9275.28719096156,9320.30855052746,9326.87324138042,9535.79009217392,9845.39510672565,11035.8219520751,11966.2781684435,12527.4261683137,12773.335939184,12736.8309353193,13746.5957141545,14585.1906146008,15099.0107419027,15475.2828534274,15750.733733136,17078.6198822241,18175.189390784,18875.4822231253,19337.494519912,19617.9132737796,21134.7117089674,22398.2372740849,23197.3109613556,23826.9002989698,24385.8304978762,26459.9623152764,28253.364886674,29489.877636052,30553.4019102507,31574.2113378859,34054.2894437069,36110.7675654349,37403.9673074486,38541.2556417045,39754.7032610586,42539.3741512531,44932.248323176,46655.1691799429,47589.0851658149,47849.8985591622,49774.6393036383,51689.6217238735,53352.2627504433,54438.0981023381,54937.8573715293,57345.9900140834,59552.6132610633,60857.4342801275,63479.0524434606,67952.0908514054,75173.7387058726,81255.2594408502,85594.2983145599,88548.0099942181,90606.6172048714,95280.2778880049,99359.8784049649,102027.094556115,104385.104896886,107041.675603409,112808.268601522,117806.7040578,121273.659236509,124009.316725403,126639.806092591,132426.27058734,137568.508258113,141121.780250335,144404.746661085,148213.021408129,155450.814853613,161988.315466755,166852.352184625,170951.691130163,175086.64795918,182599.271300103,189354.471255856,193909.346519366,199168.63972501,206531.295364758,217789.695821564,227595.037442883,234500.471235926,240207.139251996,246088.303847901,255167.847925794,263381.562507405,269241.303145999,273700.103271756,277904.920831134,284791.281535888,291217.271116569,295603.016878577,299711.005247874,304857.279316402,312615.546292079,319789.644493881,324763.240579364,329325.16844994,334847.448493876,342301.300109257,349195.023913211,353735.616538514,357887.517366896,363091.232480386,369311.942403854,375675.833557548,381071.876370622,383175.327516765,382013.111099675,379619.970791637,378923.758713069,378095.676189191,379581.691547001,384496.648975
"IND.Low",87,87,2451.29104931041,2788.26372775589,3079.90455450053,3140.40616479402,3126.43401872185,2747.58925807911,2929.49329313307,2917.42845588979,3457.99526281557,3343.55673308155,3042.11322607674,3408.7157253991,3618.60840861668,3648.54872162849,3736.19621571935,3471.03593248293,3590.93025258799,3481.41524099369,3276.44607591582,3107.05043829791,3045.79477567671,3773.58833996965,4533.71744231535,5043.10196768957,5547.34119482768,5549.51463977224,5940.55730571609,5984.64718887718,4782.73213453503,4785.52656374947,4753.54587385093,5469.23024488132,6122.68312086643,6563.31581636168,7408.56411969946,7302.81936974368,7716.35053746084,8087.47735074942,7902.11354619188,7648.57454000596,7518.43397944797,8516.57748123272,9380.36660062818,10029.9605029362,10256.7528294982,10166.8431784243,11098.2752272168,11780.2046675776,12344.4575887971,12534.7005554751,12568.8546903182,13745.1763215377,14677.4511346964,15444.1005718758,15749.935324789,15809.4167466391,17176.1144125944,18232.9409278823,19119.8838893402,19473.889279188,19647.8535867914,21473.148136049,23027.5604755835,24410.4924445941,25138.7739250991,25684.9295904537,27900.2022611925,29739.9125167151,31317.7004784084,32043.6310898917,32624.7392984364,35131.6084399006,37228.6723192669,39105.7746990397,40156.8349318217,40475.3111502287,42423.4275168637,43623.0360582034,45000.2904567466,46008.6801989842,46469.0069670384,48728.9461491889,50283.4028447426,51848.7711210385,52417.3265761279,54187.5309494438,60109.1038789094,65959.1749053009,71039.225437048,74070.8262865562,75877.3582396597,80511.0097934056,83864.9901910172,87071.0432643408,88633.8388915186,89976.8947991993,95251.1359833401,99556.2868583223,103592.50718843,105817.050267197,107459.952865189,112937.921245868,117164.473254692,121323.515402176,123601.684908249,125753.173623268,132405.511970318,137880.641565764,143335.810952534,146758.365755948,149631.393836541,156775.418657274,162378.515368333,168035.149794658,171134.792777737,175110.378429493,185152.226345595,194177.301231817,202748.835820933,207898.392234887,212239.560197522,221286.680025324,228222.187199437,235462.109733846,239837.831035498,243238.607033446,250604.944222794,255505.663368606,261200.39961549,264400.996898443,267700.729884479,275506.901360975,281315.100305169,287871.807074659,291734.551013375,295618.18663717,303417.704710775,309040.051934199,315564.556233694,319217.230065115,322952.006888217,329905.34518208,334535.448254283,340871.173335736,345672.35757429,347773.324783353,348501.916755993,345048.933723355,344899.498294412,344309.563238031,346252.002034199
"IND.Low",88,88,1953.30602089032,2049.38115864376,2246.54366432892,2377.43827721462,2286.64150575511,2077.85772301944,2396.86621365783,2468.32376071268,2355.83689582684,2641.88886414261,2366.08313627977,2686.95457972779,2891.30276053579,2949.67528190399,2844.1523120446,2745.14967701889,3066.50903667896,3082.0779994451,2887.88734705148,2605.60564037423,2342.1752418896,2713.2576991589,3272.89759437368,3823.35579359817,4123.64604410178,4367.95899827813,5041.77128711126,5250.06715363489,5133.45517895631,3862.6108706581,3711.71169307859,4184.90170672297,4669.18072518655,5057.38460589668,5230.55050515312,5697.61938813732,6370.54455658492,6542.77897943654,6683.52062860168,6294.91754371805,5800.96891305215,6530.8472102511,7188.38084000967,7725.9757936439,8095.46143421924,7987.05532310686,8873.86521650695,9461.27197978898,9815.1443015789,10104.3899032826,9970.0798769126,10989.7360480466,11742.6351192502,12277.2582195928,12712.1689886014,12622.9246778166,13862.231856409,14734.5373315056,15330.6378745659,15841.7522846919,15751.2660053673,17333.8000611233,18566.7643289591,19596.977232681,20563.0513325286,20781.1942353317,22731.8388950654,24204.0595308801,25416.1321136366,26530.3109618493,26692.8757724986,28868.8933661775,30527.8971991666,31923.6037017288,33268.6556302771,33644.4398255897,35854.7446221695,36979.5245589894,37459.3679755253,38308.5196085594,38666.6944642192,41161.9423286329,42514.7122045352,43215.0493928959,44137.3884577366,43970.920317391,48091.5057961627,52252.4996084955,56733.034183698,60814.9855696796,62542.4307404127,67420.7944525084,70398.6801626724,72436.3956882464,74772.6715795722,75234.3290282047,80062.0381662863,83445.9145208904,86290.4216810892,89365.713209585,90350.5499055867,95771.8756496491,99219.0036877419,101884.623022198,105061.445478818,106068.415828439,112283.581249497,116573.118805694,120287.891064103,124664.100281966,126649.653128871,133849.07861768,138434.603890511,142131.367605093,146693.472899746,148342.807120532,156967.258440646,163742.418605074,170536.829281867,177877.75047217,181275.865108962,190652.239667855,196454.716685562,201247.340212396,207515.998992702,210411.205082934,218937.274752292,223278.30964687,226193.25416568,231156.116094498,233171.431830337,241472.838262058,246132.083238927,249986.754382134,255924.517258636,258676.142914469,267331.643448077,271967.690226864,275750.149770689,281898.559382736,284660.608703099,292803.664146002,296690.493403185,299726.485498602,306031.250078599,310234.027261091,316086.316088446,314970.407355482,310447.734561966,310834.696474137,310473.23927305
"IND.Low",89,89,1612.82921692197,1568.34012958739,1579.11864227164,1650.26569719155,1634.5193103483,1411.89644959829,1764.79293896412,1951.13257594576,1911.92185490511,1711.65442787057,1754.36927443409,2039.66719042215,2204.18366591962,2263.70944378903,2193.44950925465,1974.5081981046,2362.84514687257,2547.05569492892,2459.76304899227,2196.15522643053,1863.79557398983,2030.17500229693,2276.48397734073,2657.76831904369,2997.84591883854,3098.84457473171,3857.50992844127,4308.07837225451,4335.44603614827,4080.93119753827,2854.39855249753,3163.78178695287,3452.09591225176,3713.35286579183,3859.37288125089,3800.7785797863,4800.78503438067,5208.81605570751,5174.61756484514,5106.75285535171,4558.06889689829,5022.21028261022,5543.70400124699,5861.07131917215,6073.04873529574,6161.71641782997,6936.48300653699,7582.12922312939,7825.33327682382,7850.61620781157,7864.1004376717,8674.30748578085,9413.05698683515,9740.80361327107,9876.31125216154,9979.0397928065,11010.4059530295,11915.1800342367,12292.4723342048,12428.6009573651,12564.330376352,13822.2227270214,15024.8918336912,15661.7999144861,16162.6237281399,16710.3318541692,18286.744779265,19760.78401187,20500.287565252,21097.1865166593,21750.9942407986,23477.0200189148,25128.9268888196,25928.7102723987,26609.5751682969,27419.9596404831,29605.0258620945,31219.4962517297,31525.4197166814,31293.8369400375,31618.3899330855,34028.1193923336,35850.3533762611,36295.5547417419,36140.4417423311,36420.9492082372,38813.8677361794,41984.7021301973,44386.6249300527,47500.5505513385,50587.019796692,55182.8800220141,58950.2141632657,60275.1284590623,61000.0832381215,62469.4650887025,66473.2168126992,70134.8062039951,71628.9830693517,73014.1771953454,75130.9795032898,79937.8856683307,84069.3383718252,85484.694590927,86590.6232195543,88788.7744668523,94012.4054329982,98792.8310545309,100721.475128703,102679.30546356,105980.546554251,112434.835275231,118041.480467832,120071.167553916,121865.634669777,125337.646434684,131974.016614794,138798.101468484,142308.747326181,146875.776138973,152990.031616177,161541.206792446,169038.660374776,171597.470414813,174250.004723582,179550.726451231,187836.741344263,194612.56684898,195928.03331267,196857.336272537,201088.634375424,208596.866470438,215223.34525825,216732.603170161,218633.036816073,223952.077579683,231970.004692207,239027.136071177,240492.08231983,242429.375817761,248199.783433532,255890.984108063,262629.461844548,263446.588431665,264886.828377581,271158.059807005,279492.33404901,284380.544797385,281411.042374865,275810.119108751,276725.671702642
"IND.Low",90,90,1307.79287235575,1214.33473973963,1128.41713040056,1077.71820036724,1045.24959425665,912.669452638444,1141.72393618359,1355.91915327102,1415.40057512115,1288.89720814385,1038.72925942297,1443.9214955161,1581.02595110054,1618.55114340867,1567.23122910547,1402.75910962727,1618.95034758216,1855.36793032725,1909.8371219991,1746.25212290644,1454.38951606541,1536.18201561174,1609.41380343766,1738.22368341735,1951.13257594576,2098.97118819517,2598.28689719356,3111.8408883798,3344.13336133214,3227.03347044152,2885.44776599125,2296.08933786105,2456.25892346941,2580.72191355997,2654.61904167504,2610.75093861033,2995.93861000964,3687.93686674625,3866.46984433517,3682.56978841376,3447.12803809276,3882.65979137119,4243.76214430322,4557.22613253203,4534.78198677799,4420.56523714036,5257.51896487338,5886.88652239122,6291.23599411808,6189.83813405143,5885.86633394785,6726.63467933868,7380.442403478,7836.99890989361,7738.39547904139,7474.43280832544,8557.11888285167,9397.97594028105,9967.81771992948,9850.67347301958,9527.0519563764,10832.9818759225,11897.2602024489,12717.1368627604,12753.8192907023,12724.1894698254,14442.7190806839,15777.7465488755,16783.4305739373,16800.5963533974,16784.8499665542,18789.6089698055,20274.1162229599,21392.7306731003,21322.0715343924,21286.3205828553,23724.3048263827,25553.2809252403,26575.5984575309,26069.8067697181,25129.9914332823,27397.3824266713,29385.6409907516,30534.5949580774,30071.1632686738,29061.9751180892,31570.9289924594,33647.9883071318,35870.4466529935,36515.8710894895,38265.7160499574,43785.5121568142,47811.7080265649,50470.2303979363,50145.2338446956,49560.3997305316,54209.043618793,57701.6809326637,60197.7715614436,59803.5352621119,59732.1220710763,65291.483747128,69512.934813735,72353.7604243338,71738.6311490038,71288.6836894605,77296.0411602073,81938.4308497507,85285.7578444708,84856.7464260261,85061.9817272196,92403.8787499461,98198.3273281646,102214.543093578,101692.162254556,101589.211933814,109459.610926223,115582.91503136,120608.673795512,120858.087691905,123202.214598643,133787.734243021,141783.793838041,147403.302276232,146721.195411794,147237.898680349,157405.717691197,165241.696412647,170267.189040684,168557.530633681,167502.877563337,176734.474075311,184003.139310212,188952.206517035,187311.255583891,187259.048549203,197277.29906305,205247.676522909,210700.007124445,208989.639021134,209081.766473172,219153.554702286,227098.116958926,232429.355627837,230175.803712462,230019.759236647,240130.403338647,248733.297633393,252649.401863298,247818.676515906,241134.667971092
"IND.Low",91,91,1208.4797451951,1114.62240840549,984.836696001719,863.56733929908,758.576641671008,634.823347888871,849.77261730401,1000.05081061364,1111.96104724889,1067.82680806852,860.2849938726,987.498057158324,1277.49771118973,1314.44627524726,1258.73511503566,1112.62638753804,1324.60380366164,1451.59508685098,1578.054097809,1527.62130389133,1291.38114522335,1377.25439854314,1389.3635918057,1394.99680625384,1442.28032280286,1536.22637163102,2017.66660486088,2388.79341814947,2740.9358551876,2813.50230272436,2567.32639573839,2719.29011778054,2021.65864659579,2078.70048738569,2086.24101066274,2022.10220678856,2344.70353498837,2589.14955722255,3095.11866911246,3107.49399849067,2781.92081699932,2914.45660259825,3207.56117797903,3465.84627822755,3571.59102818333,3208.84750253805,3737.65996435549,4354.07556424451,4837.95537853459,5000.69761326099,4554.12121118266,4993.2458020225,5590.63266964179,6087.0652373872,6260.40856072074,5735.27764850328,6356.8385466284,7135.28668493539,7785.32414743619,8020.58847368008,7409.22945998861,8148.46687725496,9104.91572091955,9973.22915428125,10406.8535987308,9842.55632149194,10908.875024905,12163.3519620901,13263.8248003464,13809.4038374504,13106.2278638561,14385.5441718361,15838.6917193618,17074.1842802964,17650.4133267207,16708.0696971861,18268.7805914579,20018.5368398872,21494.4833813211,21930.414338773,20615.7906394487,21605.5508535901,23173.1369308498,24739.7915317047,25214.4452939852,23843.7112302757,25001.8468935917,26713.4126094237,28476.1208154819,29752.1991340547,28643.6978563094,32816.9782859819,36974.334904734,40432.8180837616,41984.8795542744,40012.8552932493,42659.3128273774,45939.7065890089,48921.8948330427,50253.5512437694,47973.6962089636,51477.2451035764,55441.3425463397,59076.9836663587,60628.2023725052,57986.4022204012,61550.1422331725,65787.8276028348,69850.7059005275,71767.5956295916,68985.3643204573,73536.9128825219,78808.5370615253,83945.5407220238,86374.3876255801,83304.9067356096,87989.922559678,93562.1474813199,99174.780736523,102404.919128314,99397.9358695043,106802.064387276,114565.698441286,122007.840067578,125751.621162594,121833.210419685,127985.745141525,135242.434251221,142628.776005263,145904.201892735,141171.858196099,146013.983040445,152363.0592837,159390.605197812,162661.994687531,157873.318846412,163581.716747234,170587.705635978,178505.521212993,182349.413843517,177464.97335678,183073.348434133,190086.123793826,198282.495171899,202205.65200887,196882.131287313,201931.53180974,209086.645635292,217951.550935905,220888.673464354,214193.132354528
"IND.Low",92,92,1052.16913326383,997.744297611254,871.950626942386,723.136182268884,577.604083021861,427.015397577289,583.6365016435,726.640307791747,793.351760783982,802.622168812823,668.312142442819,810.517540244085,854.030795154578,1029.10400323992,982.086622806561,847.199968185958,1037.30986680612,1161.28494068464,1198.58835289639,1216.77432079985,1078.51660871422,1203.46751501683,1216.50818468419,1170.02307648216,1119.45721450666,1092.57746682495,1449.24421782931,1809.19331426015,2043.08260390646,2230.53114137002,2155.25897665737,2362.9782149304,2389.63618251572,1654.61258708067,1622.45447310503,1531.25849747202,1773.84156689658,1968.29835540586,2085.66438241214,2399.2170826795,2258.20929739871,2357.07886436659,2382.00694720012,2532.86176876036,2688.55139642175,2586.22205995029,2733.79453608404,3055.33131982121,3451.20879186622,3789.29037079363,3709.98180832679,3882.08316312059,4101.77852659834,4454.94115207984,4793.2888671229,4683.28593931656,4904.57811948827,5239.28864095064,5713.23270692273,6172.76106662988,6073.66971956562,6370.81069270058,6772.32137919373,7377.38183814791,8047.15772922686,8093.99768558311,8488.14527287632,9084.64502011008,9880.34764991573,10752.6087689931,10839.7683468719,11295.5264449405,11994.3111726264,12889.8592018241,13869.2401074547,13901.974849681,14418.7668302744,15243.30087261,16307.1356389436,17434.7543609972,17286.6496126321,17774.34404458,18078.4489127414,18946.0970058139,20090.3492350963,19891.7673367943,20558.1721704082,20935.5975384341,21851.0614202869,23301.1927585018,23632.6652905569,24764.3204103647,27360.8330667872,30157.0808780129,33049.7586751463,33497.5326897451,34584.5212981412,35751.0846051197,37663.6274442947,40136.4311629544,40305.6493764952,41530.8069849383,43213.7187123176,45582.1970736383,48633.0484355125,48897.5433784598,50257.7650656007,51799.00366741,54268.3032605467,57754.0653914296,58243.8889123027,59886.0374579666,61996.6742792316,65199.7998552829,69682.0643152373,70527.312618575,72411.0684012394,74374.7093746212,77650.4901102479,82754.9808086165,84193.0916656073,86590.6675755736,90385.7242288732,95328.2267448431,102218.623847352,104090.048656657,106298.31307635,108718.37748809,113064.11412071,120001.351179575,121528.351499196,123395.961690844,124510.495387211,127975.498901072,134762.147274492,136357.677643896,138299.983372006,139891.654767733,143880.946429445,151743.6274745,153979.614406241,155798.920892897,157046.788783209,160998.998812807,169446.82446416,171962.121249287,173267.430184563,173829.199168703,178022.883367243,187144.388239372,189098.936228802
