"country","age_from","age_to","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
"KHM",67,67,10717,10967,11275,11571,11888,12184,12405,12638,12902,13175,13455,13808,14139,14456,14775,15121,15433,15734,16035,16354,16701,17100,17517,17893,18173,18346,18247,18026,17771,17575,17525,18028,18602,19238,19975,20791,21208,21822,22579,23370,24159,25065,25976,26917,27960,29166,29905,30869,32016,33345,34593,35532,36217,36991,37882,38876,39680,40602,41749,43205,44767,45794,47034,48487,49879,52420,56268,60990,65701,70941,74625,75321,74868,75023,75039,77668,83540,91435,98741,106169,111764,113901,114487,115277,115542,117272,120662,125065,130458,139346,139676,125921,106075,88335,66757,68686,105508,161613,212727,266980,295580,283297,248538,219665,189383,174872,184700,208834,228365,247677,259712,258926,251300,246135,242011,237788,232929,228571,224279,219628,218984,223491,231738,239587,247717,254916,259418,262930,266915,270999,274648,276915,128956.37,19454.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",68,68,9880,9981,10202,10505,10803,11107,11365,11606,11838,12082,12333,12666,12973,13265,13558,13859,14138,14415,14697,14992,15311,15686,16074,16421,16678,16825,16727,16514,16272,16077,15986,16440,16975,17581,18276,19058,19490,20094,20808,21555,22305,23167,24018,24913,25907,27025,27651,28473,29528,30723,32087,33338,34214,34869,35665,36600,37336,38177,39147,40360,41892,42985,44142,45456,46935,48337,50557,54357,59023,63717,68948,72100,72889,72578,72863,73021,75216,81061,88868,96126,103510,108425,110676,111446,112415,112871,114074,117607,122105,127602,136571,136311,122932,103540,86243,65171,66953,103385,158692,209069,262494,289151,277266,243499,215523,186201,171572,181587,205448,224830,243984,254827,254343,247186,242413,238657,233836,229326,225218,221191,216798,215577,220292,228636,236577,244785,251117,255856,259644,263866,268111,270990,273545,125773.37,16436.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",69,69,9169,9166,9244,9461,9760,10043,10324,10590,10821,11033,11254,11568,11852,12119,12385,12658,12904,13150,13408,13679,13969,14320,14680,15000,15232,15363,15274,15063,14822,14626,14518,14930,15412,15973,16627,17358,17793,18393,19085,19784,20488,21316,22111,22937,23879,24941,25497,26162,27049,28152,29374,30791,31988,32837,33505,34339,35015,35796,36687,37714,38997,40076,41298,42529,43862,45347,46445,48654,52420,57058,61746,66415,69580,70460,70279,70689,70452,72739,78566,86299,93513,100162,105084,107448,108397,109542,109458,110874,114543,119132,124731,132978,132935,119929,100991,84139,63150,65209,101249,155753,205387,256548,282678,271199,238432,211355,181969,168253,178453,202035,221261,239056,249915,249723,243029,238646,234179,229851,225690,221830,218059,213015,212136,217043,225491,233538,240776,247314,252312,256361,260764,264127,267336,270112,122511.37,13366.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",70,70,8472,8473,8450,8529,8742,9022,9301,9580,9827,10031,10219,10513,10778,11021,11259,11503,11730,11945,12173,12419,12679,13007,13339,13631,13840,13952,13885,13683,13437,13228,13102,13494,13926,14430,15030,15712,16133,16716,17392,18066,18719,19513,20267,21024,21883,22886,23430,23994,24681,25593,26726,28040,29407,30583,31445,32143,32710,33430,34267,35217,36305,37146,38348,39647,40901,42236,43408,44516,46728,50483,55105,59259,63887,67062,68022,67966,67936,67858,70248,76070,83732,90228,96813,101739,104211,105338,105884,106044,107666,111465,116143,121016,129376,129545,116910,98428,81414,61119,63458,99101,152795,200487,250565,276168,265100,233337,205792,177716,164914,175296,198592,216441,234102,244967,245061,238826,233565,229667,225833,222020,218398,213809,209201,208648,213751,222317,229325,236762,243527,248772,253028,256426,260147,263621,266600,119197.37,9137.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",71,71,7811,7797,7776,7756,7835,8030,8323,8595,8848,9059,9233,9506,9752,9973,10184,10397,10605,10799,10995,11212,11446,11749,12053,12316,12504,12599,12551,12372,12128,11900,11743,12112,12517,12965,13501,14123,14530,15079,15726,16381,17009,17763,18484,19190,19963,20867,21394,21941,22498,23171,24092,25364,26626,27973,29164,30054,30478,31080,31856,32758,33770,34428,35378,36654,37982,39243,40265,41434,42565,44802,48557,52666,56776,61361,64537,65572,65059,65160,65252,67755,73576,80516,86942,93461,98387,100965,101464,102225,102622,104446,108374,112286,117292,125759,126137,113874,95093,78677,59080,61698,96942,148849,195557,244547,269626,258969,226536,200204,173442,161554,172113,193894,211598,229114,239977,240352,233134,228449,225123,221781,218306,213698,209526,205338,205118,210434,217881,225107,232764,239745,245183,248327,252091,256106,259829,263039,114578.37,4882.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",72,72,7154,7160,7122,7098,7080,7145,7377,7657,7900,8111,8284,8550,8775,8975,9163,9347,9530,9705,9876,10059,10265,10549,10825,11061,11224,11304,11276,11118,10891,10654,10461,10788,11165,11578,12051,12603,12986,13504,14103,14725,15335,16079,16758,17429,18137,18935,19404,19923,20458,20974,21621,22709,23929,25166,26527,27748,28359,28814,29461,30300,31269,31874,32628,33640,34946,36289,37248,38261,39440,40616,42886,46177,50229,54296,58827,61999,62513,62130,62371,62644,65265,70462,77299,83652,90101,95026,96880,97589,98557,99188,101214,104392,108420,113555,122125,122711,109918,91744,75929,57035,59932,94054,144881,190601,238502,263053,250800,219708,194593,169146,158170,167707,189176,206724,224088,234942,233977,227408,223302,220545,217686,213190,208966,205195,201436,201565,205777,213440,220905,228770,235915,240097,243630,247698,251992,255989,258030,109932.37,619.75,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",73,73,6474,6531,6509,6465,6437,6407,6534,6752,6999,7199,7368,7636,7850,8030,8195,8352,8521,8661,8812,8966,9137,9411,9656,9867,10006,10067,10065,9924,9715,9484,9265,9553,9873,10252,10681,11164,11524,11989,12546,13117,13692,14431,15105,15730,16396,17115,17505,17960,18457,18951,19414,20241,21260,22453,23695,25082,26055,26665,27159,27858,28762,29368,30050,30855,31890,33212,34286,35223,36238,37447,38675,40562,43800,47795,51809,56282,58874,59433,59189,59582,60038,62203,67348,74080,80356,86734,90842,92793,93706,94879,95742,97097,100401,104542,109802,118474,118277,105945,88382,73173,54983,57599,91152,140893,185622,232428,254311,242600,212854,188958,164825,153525,163282,184430,201815,219019,228138,227568,221650,218120,215923,212057,208040,204185,200824,197510,196580,201115,209015,216707,224731,230483,235015,238875,243233,247830,250570,252997,105279.37,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",74,74,5789,5884,5908,5874,5822,5779,5832,5948,6135,6337,6494,6760,6971,7138,7282,7415,7583,7693,7799,7930,8068,8340,8561,8733,8852,8895,8920,8801,8601,8377,8151,8419,8680,8988,9377,9807,10159,10569,11053,11579,12101,12808,13486,14110,14721,15391,15715,16090,16520,16968,17411,18070,18801,19775,20968,22226,23437,24362,24979,25519,26273,26875,27534,28251,29071,30115,31224,32255,33180,34217,35462,36390,38240,41424,45354,49312,53227,55729,56342,56248,56794,56933,59139,64230,70854,77052,82619,86656,88699,89813,91189,91461,92972,96399,100650,106034,113833,113825,101959,85011,70408,52352,55256,88237,136889,180623,224383,245539,234372,205973,183295,159089,148863,158834,179652,196869,212192,221300,221126,215858,212896,209644,206394,202843,199365,196430,192038,191590,196467,204592,212465,219022,225055,229877,234052,238724,241973,245127,247955,100605.37,0,0,0,0,0,0,0,0,0,0,0
"KHM",75,75,5152,5236,5294,5300,5253,5183,5235,5279,5369,5515,5670,5930,6137,6297,6423,6533,6712,6812,6872,6947,7059,7336,7545,7682,7760,7789,7844,7751,7563,7335,7104,7377,7605,7835,8136,8521,8888,9264,9668,10108,10586,11237,11889,12524,13133,13738,14024,14329,14680,15059,15451,16126,16671,17329,18282,19485,20662,21792,22677,23307,23895,24416,25048,25723,26441,27265,28159,29209,30208,31140,32204,33211,34107,35920,39044,42906,46416,50153,52574,53249,53308,53598,53827,56074,61108,67623,73120,78503,82464,84595,85909,86743,87172,88837,92383,96744,101367,109174,109359,97961,81630,66951,49713,52906,85313,132869,174052,216310,236738,226114,199063,176007,153335,144179,154359,174842,190252,205332,214430,214651,210024,205909,203332,200684,197607,194523,190371,186563,186614,191822,200128,206515,213316,219573,224673,229186,232419,236093,239676,242894,95873.37,0,0,0,0,0,0,0,0,0,0
"KHM",76,76,4563,4638,4685,4718,4703,4634,4671,4710,4731,4787,4890,5151,5353,5506,5620,5708,5896,6008,6047,6060,6103,6394,6607,6726,6761,6745,6834,6775,6605,6375,6125,6403,6632,6814,7017,7299,7686,8065,8416,8758,9139,9746,10341,10953,11577,12178,12414,12671,12947,13251,13574,14229,14792,15244,15851,16791,18005,19098,20155,21006,21649,22076,22615,23243,23901,24611,25348,26180,27181,28163,29106,30001,30961,31826,33595,36655,40167,43505,47070,49418,50159,50052,50401,50718,53004,57981,63880,69186,74381,78262,80481,81336,82290,82873,84689,88355,92020,96683,104501,104879,93952,77479,63483,47068,50550,82379,127660,167461,208212,227907,217824,190350,168698,147558,139470,149856,168456,183606,198444,207528,208134,202343,198889,196973,194936,192348,187918,184307,181100,181641,187140,193934,200566,207559,214029,219429,222443,226092,230205,234205,237777,89186.37,0,0,0,0,0,0,0,0,0
